link,judul,line,gambar atas,gambar bawah,gambar lain
https://t1.pmex.my.id/cute-lie-otter-x-line-gift/,Cute lie otter × LINE GIFT,line://shop/detail/27132,https://t1.pmex.my.id/wp-content/uploads/2022/12/Cute-lie-otter-%C3%97-LINE-GIFT-.png,https://t1.pmex.my.id/wp-content/uploads/2022/12/Cute-lie-otter-%C3%97-LINE-GIFT.png,#EANF#
https://t1.pmex.my.id/chibi-maruko-chan-x-line-gift/,Chibi Maruko Chan × LINE GIFT,line://shop/detail/27131,https://t1.pmex.my.id/wp-content/uploads/2022/12/Chibi-Maruko-Chan-%C3%97-LINE-GIFT-.png,https://t1.pmex.my.id/wp-content/uploads/2022/12/Chibi-Maruko-Chan-%C3%97-LINE-GIFT.png,https://t1.pmex.my.id/wp-content/uploads/2022/12/Music-Sticker-Catching-Feelings-for-You.png
"https://t1.pmex.my.id/cute-lie-otter-x-line-gift/","Cute lie otter × LINE GIFT","line://shop/detail/27132","https://t1.pmex.my.id/wp-content/uploads/2022/12/Cute-lie-otter-%C3%97-LINE-GIFT-.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/Cute-lie-otter-%C3%97-LINE-GIFT.png","#EANF#"
"https://t1.pmex.my.id/chibi-maruko-chan-x-line-gift/","Chibi Maruko Chan × LINE GIFT","line://shop/detail/27131","https://t1.pmex.my.id/wp-content/uploads/2022/12/Chibi-Maruko-Chan-%C3%97-LINE-GIFT-.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/Chibi-Maruko-Chan-%C3%97-LINE-GIFT.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/Music-Sticker-Catching-Feelings-for-You.png"
"https://t1.pmex.my.id/meiji-yasuda-life/","Meiji Yasuda Life","line://shop/detail/27171","https://t1.pmex.my.id/wp-content/uploads/2022/12/Meiji-Yasuda-Life-.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/Meiji-Yasuda-Life.png","#EANF#"
"https://t1.pmex.my.id/cotra-connecting-everyone/","COTRA, connecting everyone!","line://shop/detail/27035","https://t1.pmex.my.id/wp-content/uploads/2022/12/COTRA-connecting-everyone-.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/COTRA-connecting-everyone.png","#EANF#"
"https://t1.pmex.my.id/vans-x-how2work-x-kohei-ogawa-z-bear/","VANS × How2work × Kohei Ogawa Z-Bear","line://shop/detail/27644","https://t1.pmex.my.id/wp-content/uploads/2022/12/VANS-%C3%97-How2work-%C3%97-Kohei-Ogawa-Z-Bear-.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/VANS-%C3%97-How2work-%C3%97-Kohei-Ogawa-Z-Bear.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/LIVE-FREE.-LIVE-BEAUTIFULLY.png"
"https://t1.pmex.my.id/hatosan/","Hatosan","line://shop/detail/27524","https://t1.pmex.my.id/wp-content/uploads/2022/12/Hatosan-.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/Hatosan.png","https://t1.pmex.my.id/wp-content/uploads/2022/12/LINE-TV-%C3%97-Vita-Vita.png"
